MAPPED_TRAIT_URI	MAPPED_TRAIT	SNPS	STUDY	LINK
http://purl.obolibrary.org/obo/HP_0000545	Myopia	rs1370156	Genome-wide meta-analysis of myopia and hyperopia provides evidence for replication of 11 loci.	www.ncbi.nlm.nih.gov/pubmed/25233373
http://www.ebi.ac.uk/efo/EFO_0003888, http://www.ebi.ac.uk/efo/EFO_0003761, http://www.ebi.ac.uk/efo/EFO_0000692, http://www.ebi.ac.uk/efo/EFO_0003756, http://www.ebi.ac.uk/efo/EFO_0000289	attention deficit hyperactivity disorder, unipolar depression, schizophrenia, autism spectrum disorder, bipolar disorder	rs7914558	Identification of risk loci with shared effects on five major psychiatric disorders: a genome-wide analysis.	www.ncbi.nlm.nih.gov/pubmed/23453885
http://www.ebi.ac.uk/efo/EFO_0007963, http://www.ebi.ac.uk/efo/EFO_0000384	abnormal paneth cell measurement, Crohn's disease	rs12481514	LRRK2 but not ATG16L1 is associated with Paneth cell defect in Japanese Crohn's disease patients.	www.ncbi.nlm.nih.gov/pubmed/28352666
http://www.ebi.ac.uk/efo/EFO_0004246	mucocutaneous lymph node syndrome	rs2857151	A genome-wide association study identifies three new risk loci for Kawasaki disease.	www.ncbi.nlm.nih.gov/pubmed/22446962
http://www.ebi.ac.uk/efo/EFO_0003888	attention deficit hyperactivity disorder	rs7270085	Genome-wide association study of inattention and hyperactivity-impulsivity measured as quantitative traits.	www.ncbi.nlm.nih.gov/pubmed/23527680
http://www.ebi.ac.uk/efo/EFO_0004574	total cholesterol measurement	chr2:21281097	Common, low-frequency, and rare genetic variants associated with lipoprotein subclasses and triglyceride measures in Finnish men from the METSIM study.	www.ncbi.nlm.nih.gov/pubmed/29084231
http://www.ebi.ac.uk/efo/EFO_0004305	erythrocyte count	rs2625529	The Allelic Landscape of Human Blood Cell Trait Variation and Links to Common Complex Disease.	www.ncbi.nlm.nih.gov/pubmed/27863252
http://www.ebi.ac.uk/efo/EFO_0004308	leukocyte count	rs142472947	The Allelic Landscape of Human Blood Cell Trait Variation and Links to Common Complex Disease.	www.ncbi.nlm.nih.gov/pubmed/27863252
http://www.ebi.ac.uk/efo/EFO_0007760	eicosapentaenoic acid measurement	rs11230874	Genetic loci associated with plasma phospholipid n-3 fatty acids: a meta-analysis of genome-wide association studies from the CHARGE Consortium.	www.ncbi.nlm.nih.gov/pubmed/21829377
http://www.ebi.ac.uk/efo/EFO_0004348	hematocrit	rs62160676	The Allelic Landscape of Human Blood Cell Trait Variation and Links to Common Complex Disease.	www.ncbi.nlm.nih.gov/pubmed/27863252
http://www.ebi.ac.uk/efo/EFO_0004682	QT interval	rs185639574	GWAS of the electrocardiographic QT interval in Hispanics/Latinos generalizes previously identified loci and identifies population-specific signals.	www.ncbi.nlm.nih.gov/pubmed/29213071
http://www.ebi.ac.uk/efo/EFO_0003095, http://www.ebi.ac.uk/efo/EFO_0001422	non-alcoholic fatty liver disease, cirrhosis of liver	rs11083271	Genome-wide association study identifies variants associated with histologic features of nonalcoholic Fatty liver disease.	www.ncbi.nlm.nih.gov/pubmed/20708005
http://www.ebi.ac.uk/efo/EFO_0003767	inflammatory bowel disease	rs5743289	Loci on 20q13 and 21q22 are associated with pediatric-onset inflammatory bowel disease.	www.ncbi.nlm.nih.gov/pubmed/18758464
http://www.ebi.ac.uk/efo/EFO_0004784	self reported educational attainment	rs7593947	Genome-wide association study identifies 74 loci associated with educational attainment.	www.ncbi.nlm.nih.gov/pubmed/27225129
http://www.ebi.ac.uk/efo/EFO_0008410	susceptibility to pneumonia measurement	rs62314943	Genome-wide association and HLA region fine-mapping studies identify susceptibility loci for multiple common infections.	www.ncbi.nlm.nih.gov/pubmed/28928442
http://www.ebi.ac.uk/efo/EFO_0004286	venous thromboembolism	rs8176719	A genome-wide association study of venous thromboembolism identifies risk variants in chromosomes 1q24.2 and 9q.	www.ncbi.nlm.nih.gov/pubmed/22672568
http://www.ebi.ac.uk/efo/EFO_0008241	NAD-dependent protein deacetylase sirtuin-2 measurement	rs1801689	Connecting genetic risk to disease end points through the human blood plasma proteome.	www.ncbi.nlm.nih.gov/pubmed/28240269
http://www.ebi.ac.uk/efo/EFO_0004340	body mass index	rs6091540	Genetic studies of body mass index yield new insights for obesity biology.	www.ncbi.nlm.nih.gov/pubmed/25673413
http://www.ebi.ac.uk/efo/EFO_0000378	coronary artery disease	rs7678555	Identification of 64 Novel Genetic Loci Provides an Expanded View on the Genetic Architecture of Coronary Artery Disease.	www.ncbi.nlm.nih.gov/pubmed/29212778
http://www.ebi.ac.uk/efo/EFO_0000692, http://www.ebi.ac.uk/efo/EFO_0007792, http://www.ebi.ac.uk/efo/EFO_0005411	schizophrenia, antipsychotic drug use measurement, schizoaffective disorder	rs75023836	Genome-wide association analysis to predict optimal antipsychotic dosage in schizophrenia: a pilot study.	www.ncbi.nlm.nih.gov/pubmed/26821981
http://www.ebi.ac.uk/efo/EFO_0007986	reticulocyte count	rs1434282	The Allelic Landscape of Human Blood Cell Trait Variation and Links to Common Complex Disease.	www.ncbi.nlm.nih.gov/pubmed/27863252
http://www.ebi.ac.uk/efo/EFO_0007986	reticulocyte count	rs11678584	The Allelic Landscape of Human Blood Cell Trait Variation and Links to Common Complex Disease.	www.ncbi.nlm.nih.gov/pubmed/27863252
http://www.ebi.ac.uk/efo/EFO_0005763	pulse pressure measurement	rs585736	Genome-wide association analysis identifies novel blood pressure loci and offers biological insights into cardiovascular risk.	www.ncbi.nlm.nih.gov/pubmed/28135244
http://www.ebi.ac.uk/efo/EFO_0004337, http://www.ebi.ac.uk/efo/EFO_0004784	intelligence, self reported educational attainment	rs745086	A combined analysis of genetically correlated traits identifies 187 loci and a role for neurogenesis and myelination in intelligence.	www.ncbi.nlm.nih.gov/pubmed/29326435
http://www.ebi.ac.uk/efo/EFO_0004530	triglyceride measurement	rs9930333	Association analyses of East Asian individuals and trans-ancestry analyses with European individuals reveal new loci associated with cholesterol and triglyceride levels.	www.ncbi.nlm.nih.gov/pubmed/28334899
http://www.ebi.ac.uk/efo/EFO_0007992	basophil percentage of leukocytes	rs7439923	The Allelic Landscape of Human Blood Cell Trait Variation and Links to Common Complex Disease.	www.ncbi.nlm.nih.gov/pubmed/27863252
http://www.ebi.ac.uk/efo/EFO_0004749	CCL2 measurement	rs34971035	Novel genetic loci identified for the pathophysiology of childhood obesity in the Hispanic population.	www.ncbi.nlm.nih.gov/pubmed/23251661
http://www.ebi.ac.uk/efo/EFO_0000305	breast carcinoma	rs139824696	Association analysis identifies 65 new breast cancer risk loci.	www.ncbi.nlm.nih.gov/pubmed/29059683
http://www.ebi.ac.uk/efo/EFO_0005208	glomerular filtration rate	rs10109414	Trans-ethnic Fine Mapping Highlights Kidney-Function Genes Linked to Salt Sensitivity.	www.ncbi.nlm.nih.gov/pubmed/27588450
http://www.ebi.ac.uk/efo/EFO_0007986	reticulocyte count	rs1573296	The Allelic Landscape of Human Blood Cell Trait Variation and Links to Common Complex Disease.	www.ncbi.nlm.nih.gov/pubmed/27863252
http://www.ebi.ac.uk/efo/EFO_0005193	serum IgG glycosylation measurement	rs6794649	Loci associated with N-glycosylation of human immunoglobulin G show pleiotropy with autoimmune diseases and haematological cancers.	www.ncbi.nlm.nih.gov/pubmed/23382691
http://www.ebi.ac.uk/efo/EFO_0007986	reticulocyte count	rs4711750	The Allelic Landscape of Human Blood Cell Trait Variation and Links to Common Complex Disease.	www.ncbi.nlm.nih.gov/pubmed/27863252
http://www.ebi.ac.uk/efo/EFO_0000668	preeclampsia	rs28360974	Genome-wide association study of pre-eclampsia detects novel maternal single nucleotide polymorphisms and copy-number variants in subsets of the Hyperglycemia and Adverse Pregnancy Outcome (HAPO) study cohort.	www.ncbi.nlm.nih.gov/pubmed/23551011
http://www.ebi.ac.uk/efo/EFO_0004340	body mass index	rs10938397	Genome-wide association analysis identifies three new susceptibility loci for childhood body mass index.	www.ncbi.nlm.nih.gov/pubmed/26604143
http://www.ebi.ac.uk/efo/EFO_0008408	susceptibility to strep throat measurement	rs148252511	Genome-wide association and HLA region fine-mapping studies identify susceptibility loci for multiple common infections.	www.ncbi.nlm.nih.gov/pubmed/28928442
http://purl.obolibrary.org/obo/GO_0097366, http://www.ebi.ac.uk/efo/EFO_0000341, http://www.ebi.ac.uk/efo/EFO_0004713	response to bronchodilator, chronic obstructive pulmonary disease, FEV/FEC ratio	rs141238427	A genome-wide association study identifies risk loci for spirometric measures among smokers of European and African ancestry.	www.ncbi.nlm.nih.gov/pubmed/26634245
http://www.ebi.ac.uk/efo/EFO_0004314, http://www.ebi.ac.uk/efo/EFO_0008361	forced expiratory volume, environmental tobacco smoke exposure measurement	rs11950494	Genes and pathways underlying susceptibility to impaired lung function in the context of environmental tobacco smoke exposure.	www.ncbi.nlm.nih.gov/pubmed/28738859
http://www.ebi.ac.uk/efo/EFO_0004308	leukocyte count	rs1822534	The Allelic Landscape of Human Blood Cell Trait Variation and Links to Common Complex Disease.	www.ncbi.nlm.nih.gov/pubmed/27863252
http://www.ebi.ac.uk/efo/EFO_0005091	monocyte count	rs4020660	The Allelic Landscape of Human Blood Cell Trait Variation and Links to Common Complex Disease.	www.ncbi.nlm.nih.gov/pubmed/27863252
http://www.ebi.ac.uk/efo/EFO_0004340	body mass index	rs3101336	Genetic studies of body mass index yield new insights for obesity biology.	www.ncbi.nlm.nih.gov/pubmed/25673413
http://www.ebi.ac.uk/efo/EFO_0007986	reticulocyte count	rs62355667	The Allelic Landscape of Human Blood Cell Trait Variation and Links to Common Complex Disease.	www.ncbi.nlm.nih.gov/pubmed/27863252
http://purl.obolibrary.org/obo/HP_0100543, http://www.ebi.ac.uk/efo/EFO_0007710	cognitive impairment, cognitive decline measurement	rs41359445	Variations in the FRA10AC1 Fragile Site and 15q21 Are Associated with Cerebrospinal Fluid Aβ1-42 Level.	www.ncbi.nlm.nih.gov/pubmed/26252872
http://www.ebi.ac.uk/efo/EFO_0004239	chronic hepatitis B infection	rs7453920	A genome-wide association study identified new variants associated with the risk of chronic hepatitis B.	www.ncbi.nlm.nih.gov/pubmed/23760081
http://www.ebi.ac.uk/efo/EFO_0004842	eosinophil count	rs3893464	The Allelic Landscape of Human Blood Cell Trait Variation and Links to Common Complex Disease.	www.ncbi.nlm.nih.gov/pubmed/27863252
http://www.ebi.ac.uk/efo/EFO_0005664	blood metabolite measurement	rs1005390	An atlas of genetic influences on human blood metabolites.	www.ncbi.nlm.nih.gov/pubmed/24816252
http://www.ebi.ac.uk/efo/EFO_0004703	age at menarche	rs929843	Parent-of-origin-specific allelic associations among 106 genomic loci for age at menarche.	www.ncbi.nlm.nih.gov/pubmed/25231870
http://www.ebi.ac.uk/efo/EFO_0007660	neuroticism measurement	rs10891937	Genetic variants associated with subjective well-being, depressive symptoms, and neuroticism identified through genome-wide analyses.	www.ncbi.nlm.nih.gov/pubmed/27089181
http://www.ebi.ac.uk/efo/EFO_0000253	amyotrophic lateral sclerosis	rs10260404	Genetic variation in DPP6 is associated with susceptibility to amyotrophic lateral sclerosis.	www.ncbi.nlm.nih.gov/pubmed/18084291
http://www.ebi.ac.uk/efo/EFO_0006805, http://www.ebi.ac.uk/efo/EFO_0004874	word list delayed recall measurement, memory performance	rs932350	Genome-wide studies of verbal declarative memory in nondemented older people: the Cohorts for Heart and Aging Research in Genomic Epidemiology consortium.	www.ncbi.nlm.nih.gov/pubmed/25648963
http://www.ebi.ac.uk/efo/EFO_0008377, http://www.ebi.ac.uk/efo/EFO_0008378	mosquito bite reaction itch intensity measurement, mosquito bite reaction size measurement	rs79166949	GWAS of self-reported mosquito bite size, itch intensity and attractiveness to mosquitoes implicates immune-related predisposition loci.	www.ncbi.nlm.nih.gov/pubmed/28199695
http://www.ebi.ac.uk/efo/EFO_0004342	waist circumference	rs2531992	New genetic loci link adipose and insulin biology to body fat distribution.	www.ncbi.nlm.nih.gov/pubmed/25673412
http://purl.obolibrary.org/obo/GO_0009314	response to radiation	rs16889440	Radiation pharmacogenomics: a genome-wide association approach to identify radiation response biomarkers using human lymphoblastoid cell lines.	www.ncbi.nlm.nih.gov/pubmed/20923822
http://www.ebi.ac.uk/efo/EFO_0008317	very low density lipoprotein cholesterol measurement	chr19:46800433	Common, low-frequency, and rare genetic variants associated with lipoprotein subclasses and triglyceride measures in Finnish men from the METSIM study.	www.ncbi.nlm.nih.gov/pubmed/29084231
http://www.ebi.ac.uk/efo/EFO_0005193	serum IgG glycosylation measurement	rs1001579	Loci associated with N-glycosylation of human immunoglobulin G show pleiotropy with autoimmune diseases and haematological cancers.	www.ncbi.nlm.nih.gov/pubmed/23382691
http://purl.obolibrary.org/obo/GO_0097366, http://www.ebi.ac.uk/efo/EFO_0000341, http://www.ebi.ac.uk/efo/EFO_0004713	response to bronchodilator, chronic obstructive pulmonary disease, FEV/FEC ratio	rs116165861	A genome-wide association study identifies risk loci for spirometric measures among smokers of European and African ancestry.	www.ncbi.nlm.nih.gov/pubmed/26634245
http://www.ebi.ac.uk/efo/EFO_0001645	coronary heart disease	rs264	Shared genetic susceptibility to ischemic stroke and coronary artery disease: a genome-wide analysis of common variants.	www.ncbi.nlm.nih.gov/pubmed/24262325
http://www.ebi.ac.uk/efo/EFO_0004529	lipid measurement	rs1800775	Forty-three loci associated with plasma lipoprotein size, concentration, and cholesterol content in genome-wide analysis.	www.ncbi.nlm.nih.gov/pubmed/19936222
http://www.ebi.ac.uk/efo/EFO_0000384	Crohn's disease	rs6908425	Association analyses identify 38 susceptibility loci for inflammatory bowel disease and highlight shared genetic risk across populations.	www.ncbi.nlm.nih.gov/pubmed/26192919
http://purl.obolibrary.org/obo/GO_0097366, http://www.ebi.ac.uk/efo/EFO_0004713	response to bronchodilator, FEV/FEC ratio	rs148342344	A genome-wide association study identifies risk loci for spirometric measures among smokers of European and African ancestry.	www.ncbi.nlm.nih.gov/pubmed/26634245
http://www.ebi.ac.uk/efo/EFO_1001486	primary biliary cirrhosis	rs73112661	Dense fine-mapping study identifies new susceptibility loci for primary biliary cirrhosis.	www.ncbi.nlm.nih.gov/pubmed/22961000
http://www.ebi.ac.uk/efo/EFO_0000692	schizophrenia	rs77502336	Genome-wide association study of schizophrenia in Ashkenazi Jews.	www.ncbi.nlm.nih.gov/pubmed/26198764
http://www.ebi.ac.uk/efo/EFO_0002618	pancreatic carcinoma	rs505922	Genome-wide association study identifies variants in the ABO locus associated with susceptibility to pancreatic cancer.	www.ncbi.nlm.nih.gov/pubmed/19648918
http://www.ebi.ac.uk/efo/EFO_0005664	blood metabolite measurement	rs2404602	An atlas of genetic influences on human blood metabolites.	www.ncbi.nlm.nih.gov/pubmed/24816252
http://www.ebi.ac.uk/efo/EFO_0000378	coronary artery disease	rs2107595	Identification of 64 Novel Genetic Loci Provides an Expanded View on the Genetic Architecture of Coronary Artery Disease.	www.ncbi.nlm.nih.gov/pubmed/29212778
http://www.ebi.ac.uk/efo/EFO_0003892, http://www.ebi.ac.uk/efo/EFO_0004713	pulmonary function measurement, FEV/FEC ratio	rs3817928	Meta-analyses of genome-wide association studies identify multiple loci associated with pulmonary function.	www.ncbi.nlm.nih.gov/pubmed/20010835
http://www.orpha.net/ORDO/Orphanet_136, http://www.ebi.ac.uk/efo/EFO_0005665	CADASIL, white matter hyperintensity measurement	rs271674	Genome-wide genotyping demonstrates a polygenic risk score associated with white matter hyperintensity volume in CADASIL.	www.ncbi.nlm.nih.gov/pubmed/24578207
http://www.ebi.ac.uk/efo/EFO_0000305	breast carcinoma	rs1876206	A genome-wide association study of breast and prostate cancer in the NHLBI's Framingham Heart Study.	www.ncbi.nlm.nih.gov/pubmed/17903305
http://www.ebi.ac.uk/efo/EFO_0007992	basophil percentage of leukocytes	rs3922671	The Allelic Landscape of Human Blood Cell Trait Variation and Links to Common Complex Disease.	www.ncbi.nlm.nih.gov/pubmed/27863252
http://www.ebi.ac.uk/efo/EFO_0004339	body height	rs10838801	Hundreds of variants clustered in genomic loci and biological pathways affect human height.	www.ncbi.nlm.nih.gov/pubmed/20881960
http://www.ebi.ac.uk/efo/EFO_0004309	platelet count	rs941207	New gene functions in megakaryopoiesis and platelet formation.	www.ncbi.nlm.nih.gov/pubmed/22139419
http://purl.obolibrary.org/obo/HP_0000539	Abnormality of refraction	rs1960445	Genome-wide meta-analyses of multiancestry cohorts identify multiple new susceptibility loci for refractive error and myopia.	www.ncbi.nlm.nih.gov/pubmed/23396134
http://www.ebi.ac.uk/efo/EFO_0004265, http://www.ebi.ac.uk/efo/EFO_0007908	peripheral arterial disease, traffic air pollution measurement	rs10039526	Genetic Variants in the Bone Morphogenic Protein Gene Family Modify the Association between Residential Exposure to Traffic and Peripheral Arterial Disease.	www.ncbi.nlm.nih.gov/pubmed/27082954
